CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Street,Supervisor District,Neighborhood,Police District,Latitude,Longitude,Point,Source,Media URL,BOS_2012,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Supervisor Districts,DELETE - Fire Prevention Districts,DELETE - Current Police Districts,DELETE - Zip Codes,DELETE - Police Districts,DELETE - Neighborhoods,DELETE - Neighborhoods_from_fyvs_ahh9,DELETE - 2017 Fix It Zones,DELETE - SF Find Neighborhoods,Civic Center Harm Reduction Project Boundary,DELETE - Current Supervisor Districts,Fix It Zones as of 2017-11-06 ,Invest In Neighborhoods (IIN) Areas,DELETE - HSOC Zones,Fix It Zones as of 2018-02-07,"CBD, BID and GBD Boundaries as of 2017",Central Market/Tenderloin Boundary,"Areas of Vulnerability, 2016",Central Market/Tenderloin Boundary Polygon - Updated,HSOC Zones as of 2018-06-05,OWED Public Spaces,Parks Alliance CPSI (27+TL sites),Neighborhoods
17610705,11/30/2023 09:55:38 PM,12/01/2023 06:00:38 AM,12/01/2023 06:00:38 AM,Closed,Case Resolved,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"2900 MISSION ST, SAN FRANCISCO, CA, 94110",MISSION ST,9,Mission,MISSION,37.7505641,-122.4184374,"(37.7505641, -122.4184374)",Mobile/Open311,,9,53,3,2,20,7,2,7,28859,4,19,19,,53,,2,,,3,,,,2,,3,,,53
17610704,11/30/2023 09:54:51 PM,12/01/2023 06:00:33 AM,12/01/2023 06:00:33 AM,Closed,Case Resolved,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"1002 BATTERY ST, SAN FRANCISCO, CA, 94111",BATTERY ST,3,Northern Waterfront,CENTRAL,37.80058951928,-122.401386052404,"(37.80058952, -122.40138605)",Mobile/Open311,,3,77,6,3,8,10,3,1,28860,1,6,6,,77,,3,,,,,,,1,,,,,77
17610701,11/30/2023 09:52:00 PM,12/05/2023 09:54:00 AM,12/05/2023 09:54:00 AM,Closed,"Case Transferred - To track, visit http://dbiweb.sfgov.org/dbipts/ and search by Complaint Number. See Complaint 202316759 or call (628)652-3400.",DBI Plumbing Inspection Queue,Sewer Issues,other,na,"461 CAMPBELL AVE, SAN FRANCISCO, CA, 94134",CAMPBELL AVE,10,Visitacion Valley,INGLESIDE,37.714886,-122.405075,"(37.714886, -122.405075)",Web,,10,75,9,9,40,8,9,4,309,7,39,39,,75,,9,,,,,,,2,,,,,75
17610700,11/30/2023 09:52:00 PM,12/10/2023 12:34:00 PM,12/10/2023 12:34:00 PM,Closed,Case Resolved - Nothingfound in area,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,Intersection of 29TH AVE and LINCOLN WAY,29TH AVE,4,Golden Gate Park,TARAVAL,37.764869397117,-122.48789072213,"(37.7648694, -122.48789072)",Mobile/Open311,,4,39,10,7,35,3,1,5,56,8,35,35,,39,,7,,,,,,,1,,,,,39
17610698,11/30/2023 09:51:00 PM,12/04/2023 10:14:00 AM,12/04/2023 10:14:00 AM,Closed,"Case Transferred - Kwong, Kenneth <Kenneth.Kwong@sfmta.com>",SFMTA - Transportation Engineering Queue,Street Defects,other,other,"2410 VAN NESS AVE, SAN FRANCISCO, CA, 94109",VAN NESS AVE,3,Polk Gulch,NORTHERN,37.797669604561,-122.4235752317,"(37.7976696, -122.42357523)",Mobile/Open311,,3,105,4,3,32,10,13,6,28858,9,32,32,,105,,3,,,,,,,1,,,,,105
17610696,11/30/2023 09:51:17 PM,12/01/2023 06:00:28 AM,12/01/2023 06:00:28 AM,Closed,Case Resolved,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"1620 UNION ST, SAN FRANCISCO, CA, 94123",UNION ST,2,Union Street,NORTHERN,37.798253181555,-122.425931962291,"(37.79825318, -122.42593196)",Mobile/Open311,,2,15,4,6,13,1,13,6,57,9,17,17,,15,,6,,,,,,,1,,,,,15
17610695,11/30/2023 09:50:30 PM,12/01/2023 06:00:22 AM,12/01/2023 06:00:22 AM,Closed,Case Resolved,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"50 MISSION ST, SAN FRANCISCO, CA, 94105",MISSION ST,6,Financial District,SOUTHERN,37.793219778672,-122.393433660263,"(37.79321978, -122.39343366)",Mobile/Open311,,6,108,6,10,8,9,12,2,28855,2,6,6,,108,,10,,,,,,,1,,,,,108
17610693,11/30/2023 09:50:00 PM,,12/01/2023 10:54:28 AM,Open,,311 Escalated KB Questions Queue,General Request - 311CUSTOMERSERVICECENTER,other,311CustomerServiceCenter - other,Not associated with a specific address,,,,,0,0,"(0.0, 0.0)",Web,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17610679,11/30/2023 09:41:00 PM,12/01/2023 10:12:45 AM,12/01/2023 10:12:45 AM,Closed,Case Resolved,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Furniture,"880 PRESIDIO AVE, SAN FRANCISCO, CA, 94115",PRESIDIO AVE,5,Lower Pacific Heights,RICHMOND,37.783641751678,-122.445848624942,"(37.78364175, -122.44584862)",Mobile/Open311,,5,103,8,11,31,11,15,9,29490,6,31,31,,103,,11,,,,,,,1,,,,,103
17610676,11/30/2023 09:39:00 PM,12/02/2023 08:28:00 AM,12/02/2023 08:28:00 AM,Closed,Case Resolved - Can not remove bike is locked onto pole,DPW - Bureau of Street Environmental Services - G,General Request - PUBLIC WORKS,complaint,bses - complaint,"331 VICKSBURG ST, SAN FRANCISCO, CA, 94114",VICKSBURG ST,8,Noe Valley,MISSION,0,0,"(0.0, 0.0)",Web,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
17610674,11/30/2023 09:34:00 PM,12/02/2023 12:42:19 PM,12/02/2023 12:42:19 PM,Closed,Case Resolved - One tent blocking sidewalk. PEH  relocated.,HSOC Individual Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"168 LILY ST, SAN FRANCISCO, CA, 94102",LILY ST,5,Lower Haight,NORTHERN,37.774533759838,-122.423361148799,"(37.77453376, -122.42336115)",Mobile/Open311,,5,26,4,11,9,11,7,6,28852,9,10,10,,26,,11,,,,,,,1,,,,,26
17610672,11/30/2023 09:33:19 PM,12/01/2023 06:00:16 AM,12/01/2023 06:00:16 AM,Closed,Case Resolved,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"3599 MISSION ST, SAN FRANCISCO, CA, 94110",MISSION ST,9,Holly Park,INGLESIDE,37.738956553813,-122.423864600767,"(37.73895655, -122.4238646)",Mobile/Open311,,9,61,9,2,2,7,2,4,28859,7,2,2,,61,,2,,,,,,,1,,,,,61
17610671,11/30/2023 09:30:52 PM,12/01/2023 06:00:11 AM,12/01/2023 06:00:11 AM,Closed,Case Resolved,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"601 30TH AVE, SAN FRANCISCO, CA, 94121",30TH AVE,1,Outer Richmond,RICHMOND,37.7778415,-122.4900021,"(37.7778415, -122.4900021)",Mobile/Open311,,1,8,8,4,29,2,11,9,55,6,26,26,,8,,4,,,,,,,1,,,,,8
17610663,11/30/2023 09:21:00 PM,12/01/2023 12:23:00 PM,12/01/2023 12:23:00 PM,Closed,DPT Abandoned Vehicles - Vehicle Complied w/Law - 12/01/2023  @ 1015  HRS # 284 * VEH IS NOT ABANDONED,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicles,Abandoned Vehicle,"268 CLIPPER ST, SAN FRANCISCO, CA, 94114",CLIPPER ST,8,Noe Valley,MISSION,37.749219672445,-122.430972503666,"(37.74921967, -122.4309725)",Mobile/Open311,,8,84,3,5,22,5,2,7,28862,4,22,22,,84,,5,,,,,,,1,,,,,84
17610661,11/30/2023 09:18:36 PM,12/01/2023 06:00:01 AM,12/01/2023 06:00:01 AM,Closed,Case Resolved,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"4404 CALIFORNIA ST, SAN FRANCISCO, CA, 94118",CALIFORNIA ST,1,Presidio Terrace,RICHMOND,37.785044343659,-122.46481385095,"(37.78504434, -122.46481385)",Mobile/Open311,,1,4,8,4,11,2,11,9,54,6,11,11,,4,,4,,,,,,,1,,,,,4
17610653,11/30/2023 09:13:29 PM,12/01/2023 05:59:55 AM,12/01/2023 05:59:55 AM,Closed,Case Resolved,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"895 46TH AVE, SAN FRANCISCO, CA, 94121",46TH AVE,1,Outer Richmond,RICHMOND,37.771595052823,-122.506917743086,"(37.77159505, -122.50691774)",Mobile/Open311,,1,8,8,4,29,2,11,9,55,6,26,26,,8,,4,,,,,,,1,,,,,8
17610652,11/30/2023 09:13:00 PM,12/01/2023 05:24:23 AM,12/01/2023 05:24:23 AM,Closed,Case Resolved,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Furniture,"728 UNION ST, SAN FRANCISCO, CA, 94133",UNION ST,3,Russian Hill,CENTRAL,37.800306,-122.411378,"(37.800306, -122.411378)",Mobile/Open311,,3,107,6,3,6,10,3,1,308,1,4,4,,107,,3,,,,,,,2,,,,,107
17610645,11/30/2023 09:09:00 PM,12/01/2023 10:04:00 AM,12/01/2023 10:04:00 AM,Closed,Comment Noted - private sign,311 Supervisor Queue,General Request - PUBLIC WORKS,request_for_service,bsm - request_for_service,Intersection of GOLDEN GATE AVE and BAKER ST,GOLDEN GATE AVE,5,Western Addition,PARK,37.778355,-122.441955,"(37.778355, -122.441955)",Mobile/Open311,,5,97,7,11,18,11,15,8,29490,5,16,16,,97,,11,,,,,,,1,,,,,97
17610641,11/30/2023 09:06:43 PM,12/10/2023 10:00:05 PM,12/10/2023 10:00:05 PM,Closed,Case Resolved - Closed: No response from PG & E- GRAFFITI in 1 month,DPW Ops Queue,Illegal Postings,Illegal Postings - Posted_Over_70_Days,Posted Over 70 Days,Intersection of BAKER ST and GROVE ST,BAKER ST,5,Panhandle,PARK,37.775513798109,-122.44133214128,"(37.7755138, -122.44133214)",Mobile/Open311,,5,24,7,11,18,11,15,8,29492,5,16,16,,24,,11,,,,,,,1,,,,,24
17610639,11/30/2023 09:06:00 PM,12/03/2023 10:57:46 AM,12/03/2023 10:57:46 AM,Closed,Case Resolved,DPW Ops Queue,Graffiti,Graffiti on City_receptacle,City_receptacle - Offensive,Intersection of OFARRELL ST and SCOTT ST,OFARRELL ST,5,Western Addition,NORTHERN,37.782715426528,-122.437652572579,"(37.78271543, -122.43765257)",Mobile/Open311,,5,97,4,11,39,11,15,8,29490,5,41,41,,97,,11,,,,,,,2,,,,,97
17610635,11/30/2023 09:05:00 PM,11/30/2023 10:42:40 PM,11/30/2023 10:42:40 PM,Closed,Case Resolved - Field Work has been completed. Memo:STATUSDATE per Mobile. DBAdd@11/30/2023 10:42:42PM,PUC Sewer Ops,Sewer Issues,Sewage_back_up,Outofsewervent4inch,"117 NOE ST, SAN FRANCISCO, CA, 94114",NOE ST,8,Duboce Triangle,PARK,0,0,"(0.0, 0.0)",Phone,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
17610634,11/30/2023 09:04:59 PM,12/01/2023 05:43:34 AM,12/01/2023 05:43:34 AM,Closed,Case Resolved - Reallocate to city can,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"4300 MISSION ST, SAN FRANCISCO, CA, 94112",MISSION ST,11,Mission Terrace,INGLESIDE,37.728664994231,-122.431526715145,"(37.72866499, -122.43152672)",Mobile/Open311,,11,94,9,1,28,6,9,4,28861,7,25,25,,94,,1,,,,4,,,1,,,,,94
17610627,11/30/2023 09:03:09 PM,12/01/2023 05:59:49 AM,12/01/2023 05:59:49 AM,Closed,Case Resolved,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"2194 BROADWAY, SAN FRANCISCO, CA, 94115",BROADWAY,2,Pacific Heights,NORTHERN,37.794633373497,-122.433135029634,"(37.79463337, -122.43313503)",Mobile/Open311,,2,102,4,6,30,1,13,6,29490,9,27,27,,102,,6,,,,,,,1,,,,,102
17610623,11/30/2023 09:01:00 PM,,11/30/2023 09:45:12 PM,Open,accepted,DPW Ops Queue,Blocked Street or SideWalk,Blocked_Sidewalk,Tree_shrub_bush_privately_maintained blocking sidewalk,"667 HAMILTON ST, SAN FRANCISCO, CA, 94134",HAMILTON ST,9,Portola,BAYVIEW,37.722885274518,-122.408134771908,"(37.72288527, -122.40813477)",Mobile/Open311,,9,91,2,2,25,7,10,3,309,3,28,28,,91,,2,,,,,,,1,,,,,91
17610620,11/30/2023 08:58:00 PM,12/01/2023 12:02:08 PM,12/01/2023 12:02:08 PM,Closed,Case Resolved,DPW Ops Queue,Illegal Postings,Illegal Postings - Affixed_Improperly,Affixed Improperly,"1799 HAYES ST, SAN FRANCISCO, CA, 94117",HAYES ST,5,Panhandle,PARK,37.773821666667,-122.446036666667,"(37.77382167, -122.44603667)",Mobile/Open311,,5,24,7,11,18,11,15,8,29492,5,16,16,,24,,11,,,,,,,1,,,,,24
17610618,11/30/2023 08:57:11 PM,12/01/2023 05:59:45 AM,12/01/2023 05:59:45 AM,Closed,Case Resolved,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,Intersection of LOCUST ST and CALIFORNIA ST,LOCUST ST,2,Laurel Heights / Jordan Park,RICHMOND,37.786733577994,-122.451619394238,"(37.78673358, -122.45161939)",Mobile/Open311,,2,10,8,6,31,1,11,9,54,6,31,31,,10,,6,,,,,,,1,,,,,10
17610617,11/30/2023 08:56:00 PM,12/01/2023 02:11:00 PM,12/01/2023 02:11:00 PM,Closed,"Case Transferred - To track, visit http://dbiweb.sfgov.org/dbipts/ and search by Complaint Number. See Complaint 202316644 or call (628) 652-3430.",DBI Building Inspection Queue,General Request - PUBLIC WORKS,request_for_service,bsm - request_for_service,"2670 GEARY BLVD, SAN FRANCISCO, CA, 94118",GEARY BLVD,2,Laurel Heights / Jordan Park,RICHMOND,37.782980752844,-122.447469484382,"(37.78298075, -122.44746948)",Mobile/Open311,,2,11,8,6,31,1,15,9,54,6,31,31,,11,,6,,,,,,,1,,,,,11
17610612,11/30/2023 08:52:25 PM,12/06/2023 02:46:20 AM,12/06/2023 02:46:20 AM,Closed,Case Resolved - EAM Case 15620 update,DPT SignShop Queue,Sign Repair,Sign - Defaced,Other_Parking_Type - Defaced; support - OK,"95 ROOSEVELT WAY, SAN FRANCISCO, CA, 94114",ROOSEVELT WAY,8,Corona Heights,PARK,37.76667,-122.438163333333,"(37.76667, -122.43816333)",Mobile/Open311,,8,113,7,5,5,5,15,8,28862,5,3,3,,113,,5,,,,,,,1,,,,,113
17610611,11/30/2023 08:51:00 PM,,11/30/2023 09:45:11 PM,Open,accepted,DPW Ops Queue,Street and Sidewalk Cleaning,Medical Waste,Needles,"3624 16TH ST, SAN FRANCISCO, CA, 94114",16TH ST,8,Duboce Triangle,PARK,37.764268262295,-122.433760137085,"(37.76426826, -122.43376014)",Mobile/Open311,,8,28,7,5,5,5,15,8,28862,5,3,3,,28,,5,,,,,,,1,,5,,,28
17610610,11/30/2023 08:50:44 PM,12/01/2023 05:59:40 AM,12/01/2023 05:59:40 AM,Closed,Case Resolved,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"4801 CALIFORNIA ST, SAN FRANCISCO, CA, 94118",CALIFORNIA ST,1,Inner Richmond,RICHMOND,37.784521475885,-122.469103541434,"(37.78452148, -122.46910354)",Mobile/Open311,,1,5,8,4,11,2,11,9,54,6,11,11,,5,,4,,,,,,,1,,,,,5
17610605,11/30/2023 08:46:00 PM,12/04/2023 01:18:00 PM,12/04/2023 01:18:00 PM,Closed,"Case Transferred - DPH Environmental Health
Healthy Housing & Vector Control Program
415-252-3800",DPH - Environmental Health - G,Sewer Issues,other,na,"950 NEWHALL ST, SAN FRANCISCO, CA, 94124",NEWHALL ST,10,Bayview,BAYVIEW,37.738423922847,-122.389824651182,"(37.73842392, -122.38982465)",Mobile/Open311,,10,86,2,9,1,8,10,3,58,3,1,1,,86,,9,,,,,,,2,,,,,86
17610599,11/30/2023 08:41:00 PM,11/30/2023 09:29:12 PM,11/30/2023 09:29:12 PM,Closed,Case Resolved,DPW Ops Queue,General Request - PUBLIC WORKS,request_for_service,bsm - request_for_service,Intersection of LANE ST and YOSEMITE AVE,LANE ST,10,Bayview,BAYVIEW,37.727917,-122.393562,"(37.727917, -122.393562)",Web,,10,86,2,9,1,8,10,3,58,3,1,1,,86,,9,,,,,,,2,,,,,86
17610598,11/30/2023 08:40:00 PM,12/01/2023 11:46:47 AM,12/01/2023 11:46:47 AM,Closed,Case Resolved,DPW Ops Queue,Graffiti,Graffiti on Signal_box,Signal_box - Offensive,"903 BAKER ST, SAN FRANCISCO, CA, 94115",BAKER ST,2,Anza Vista,PARK,37.7793,-122.442121666667,"(37.7793, -122.44212167)",Mobile/Open311,,2,13,7,6,18,1,15,8,29490,5,16,16,,13,,6,,,,,,,1,,,,,13
17610595,11/30/2023 08:39:00 PM,12/01/2023 11:24:14 AM,12/01/2023 11:24:14 AM,Closed,Case Resolved,DPW Ops Queue,Graffiti,Graffiti on Other_enter_additional_details_below,Other_enter_additional_details_below - Offensive,"605 LYON ST, SAN FRANCISCO, CA, 94117",LYON ST,2,Western Addition,PARK,37.776433333333,-122.443213333333,"(37.77643333, -122.44321333)",Mobile/Open311,,5,97,7,11,18,11,15,8,29492,5,16,16,,97,,11,,,,,,,1,,,,,97
17610591,11/30/2023 08:35:42 PM,12/01/2023 05:59:34 AM,12/01/2023 05:59:34 AM,Closed,Case Resolved,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"4900 FULTON ST, SAN FRANCISCO, CA, 94121",FULTON ST,1,Outer Richmond,RICHMOND,37.772621721996,-122.48446606111,"(37.77262172, -122.48446606)",Mobile/Open311,,1,8,8,4,29,2,11,9,55,6,26,26,,8,,4,,,,,,,1,,,,,8
17610590,11/30/2023 08:34:35 PM,12/01/2023 05:59:12 AM,12/01/2023 05:59:12 AM,Closed,Case Resolved,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"522 MARKET ST, SAN FRANCISCO, CA, 94104",MARKET ST,3,Financial District,CENTRAL,37.790967320512,-122.39946205583,"(37.79096732, -122.39946206)",Mobile/Open311,,3,108,6,3,8,10,4,2,28854,2,6,6,,108,,3,,,,,,,2,,,35,,108
17610586,11/30/2023 08:31:00 PM,11/30/2023 09:28:56 PM,11/30/2023 09:28:56 PM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"990 BOWDOIN ST, SAN FRANCISCO, CA, 94134",BOWDOIN ST,9,Portola,BAYVIEW,37.724082775738,-122.409733693866,"(37.72408278, -122.40973369)",Mobile/Open311,,9,91,2,2,25,7,9,3,309,3,28,28,,91,,2,,,,,,,1,,,,,91
17610585,11/30/2023 08:30:00 PM,12/01/2023 09:09:00 AM,12/01/2023 09:09:00 AM,Closed,"Accepted - To view the status, see https://dbiweb02.sfgov.org/dbipts/ complaint number: 202316587",DBI Housing Inspection Queue,Residential Building Request,Building - Doors_Windows_Broken_Defective,Doors_Windows_Broken_Defective,"337 10TH AVE, SAN FRANCISCO, CA, 94118",10TH AVE,1,Inner Richmond,RICHMOND,0,0,"(0.0, 0.0)",Phone,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
17610584,11/30/2023 08:30:00 PM,12/13/2023 09:30:55 PM,12/13/2023 09:30:55 PM,Closed,Case Resolved - Per process - cases are closed 10 days after assignment.,Clear Channel - Transit Queue,Street and Sidewalk Cleaning,Transit_shelter_platform,Transit_shelter_platform,"789 ELLIS ST, SAN FRANCISCO, CA, 94109",ELLIS ST,5,Tenderloin,TENDERLOIN,37.784095,-122.419018,"(37.784095, -122.419018)",Web,https://mobile311.sfgov.org/media/san_francisco/report/photos/656961514f4ae363b800847f/IMG_9605.jpeg,6,20,5,10,36,9,7,6,28858,9,36,36,,20,,10,,,,,,1,2,1,,,,20
17610571,11/30/2023 08:20:00 PM,11/30/2023 09:28:45 PM,11/30/2023 09:28:45 PM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,Human or Animal Waste,Human or Animal Waste,"1197 SANTIAGO ST, SAN FRANCISCO, CA, 94116 (Virtual)",SANTIAGO ST,4,Parkside,TARAVAL,37.744728702654,-122.480042427778,"(37.7447287, -122.48004243)",Mobile/Open311,,4,40,10,7,35,3,1,5,29491,8,35,35,,40,,7,25,,,24,,,1,,,,,40
17610569,11/30/2023 08:19:08 PM,12/01/2023 05:59:06 AM,12/01/2023 05:59:06 AM,Closed,Case Resolved,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"590 FOLSOM ST, SAN FRANCISCO, CA, 94105",FOLSOM ST,6,South of Market,SOUTHERN,37.785605773681,-122.39652049711,"(37.78560577, -122.3965205)",Mobile/Open311,,6,30,1,10,8,9,6,2,28856,2,6,6,,30,,10,,,,,3,,1,,,,,30
